property_name,property_address,latitude,longitude,OpenStreetMap_address,property_price,property_description,tipe_property,certificate,dilengkapi_perabotan,kondisi_properti,jalur_telepon,jumlah_lantai,daya_listrik,tanggal_tayang,luas_bangunan,luas_tanah,kamar_tidur,kamar_mandi,garasi_mobil
Independent Property Agent,"Alang Alang Lebar, Palembang ",-2.9557179,104.6706955,"Alang Alang Lebar, Palembang, Sumatera Selatan, 30151, Indonesia",Rp. 810.000.000,"Dijual Rumah Cantik di Florista Garden Palembang.

LB 105m2
LT 7x15 (105m2)

Rumah didalam cluster cantik two gate system.
Keamanan 24 jam.
Fasilitas didalam komplek ada kolam renang, playground, lapangan basket, perpustakaan mini, dan fitness center, semuanya gratis pake cuma bayar IPL aja per bulan.

Lokasi di Pakjo Ujung, bisa diakses dari KM7, Pakjo demang lebar daun, dan Soekarno Hatta.

Untuk info lebih lanjut, 
Hubungi elda di 0821-7437-8799",Rumah,SHM - Sertifikat Hak Milik,,Baru,1,2,2200,23 Dec 2020, 105 m², 105 m²,3,3,2
SRIWIJAYA PRIMARY,"Ilir Barat I, Palembang ",-2.970133,104.67994114097745,"Ilir Barat I, Palembang, Sumatera Selatan, Indonesia",Rp. 1.500.000.000,"rumah siap huni lokasi dipusat kota Demang lebar daun hanya
* 3 menit ke istana gubernur
* 5 menit ke PS Mall
* 6 menit ke UnSri bukit
sangat cocok untuk hunian keluarga tercinta",Rumah,SHM - Sertifikat Hak Milik,Unfurnished,Baru,,2,2200,17 Dec 2020, 140 m², 120 m²,3,4,
Independent Property Agent,"Alang Alang Lebar, Palembang ",-2.9557179,104.6706955,"Alang Alang Lebar, Palembang, Sumatera Selatan, 30151, Indonesia",Rp. 768.000.000,"Dijual Rumah Paling cantik di Palembang Fasilitas Paling Yahud, antara lain: 
- Swimming Pool 
- Gym Center 
- Lapangan Basket 
- Ruang Baca anak ( Perpustakaan Mini)
- Taman bermain anak yang luas

Tempat yang sangat nyaman untuk tinggal, lokasi bisa diakses dari 2 arah yaitu: - Pakjo ujung, dekat jl irigasi - karya baru - Dari km7, masuk lewat talang buruk Ini dikarenakan lokasi 3,5hektar yang langsung menyambungkan jalan jadi dari pakjo ke km7 seperti tersambung, tidak perlu mengikuti jalan yang berliku-liku. 

Cluster Alba - Luas tanah, 6x14m - Luas bangunan 92m2 - 3 kamar tidur dan 1 kamar pembantu - Semua toilet didalam kamar - 1 toilet tamu Mengusung konsep rumah tumbuh yang bisa anda kembangkan kedepan jika anggota keluarga makin bertambah. Hubungi saya sekarang juga: 081288117613 Edwin salim",Rumah,HGB - Hak Guna Bangun,Unfurnished,Baru,1,2,2200,30 Dec 2020, 105 m², 105 m²,3,3,2
SAHABAT PROPERTY,"Kalidoni, Palembang ",-2.9504179,104.8034681,"KALIDONI, Palembang, Sumatera Selatan, 30119, Indonesia",Rp. 2.500.000.000,"rumah di palembang

villa damai kedamaian permai 2

depan SMA kusuma bangsa

Luas tanah 303

Luas bangunan 9 x 16

1 lantai

Kamar tidur 3

Kamar mandi 2

Listrik 6600

Pam

Sertifikat hak milik

lokasi strategis. posisi di Hook.

Harga 2.5M nego

Hub

septiani

0878-8851-2417

sahabat pro",Rumah,SHM - Sertifikat Hak Milik,Unfurnished,Bagus,,1,6600,05 Jan 2021, 303 m², 144 m²,3,2,
"1 JT TERIMA KUNCI lokasi hanya 5 menit dari kantor lurah talang betutu, Sukarame, Palembang","Sukarame, Palembang ",-2.9038353,104.71415723280438,"Sukarame, Palembang, Sumatera Selatan, Indonesia",Rp. 150.000.000,grand Talang Betutu Indah perumahan subsidi lokasi hanya 5 menit dari kantor lurah talang betutu,Rumah,SHM - Sertifikat Hak Milik,Unfurnished,Baru,,1,1300,14 Dec 2020, 36 m², 84 m²,2,1,
"New Listing Rumah di Komplek Prima Kenten Palembang, Sako, Palembang","Sako, Palembang ",-2.9255981,104.7864873,"Sako, Palembang, Sumatera Selatan, 30163, Indonesia",Rp. 550.000.000,"WA Sekarang :
Faisal : 0812731312973

New Listing Jual Rumah di Komplek Prima Indah samping Indogrosir Kenten Palembang

Luas tanah : 138 m
Luas bangunan : 100 m
Kamar tidur : 3 unit
Kamar mandi : 1 unit

Harga : Rp 550.000.000

Spesifikasi :
Sertipikat Hak Milik
IMB
PBB
Listrik 2200 watt
Air PAM
Hadap Timur
Carport 2 Mobil

Deskripsi :
Rumah siap huni, berada di Dalam komplek kondisi bersih dan rapi, jalan komplek di Aspal, One gate system, kawasan ramai dan padat, bebas banjir, dekat dengan Indogrosir, akses ke Bandara dekat, Cocok untuk tempat tinggal.",Rumah,SHM - Sertifikat Hak Milik,Unfurnished,Bagus,,,2200,08 Jan 2021, 100 m², 138 m²,3,1,
"Rumah Jln Hang Tuah Kambang Iwak Palembang, Bukit Kecil, Palembang","Bukit Kecil, Palembang ",-2.9879814500000004,104.75050793435676,"Bukit Kecil, Palembang, Sumatera Selatan, 30135, Indonesia",Rp. 8.900.000.000,"WA Sekarang :
Lendra : 081288535034

New Listing Jual Rumah Strategis Jln Hang Tuah Kambang Iwak Palembang

Luas tanah : 954 m
Luas bangunan : 500 m
Kamar tidur : 5 unit
Kamar mandi : 4 unit

Harga : Rp 8.900.000.000

Spesifikasi :
Sertipikat Hak Milik
IMB
PBB
Listrik 2200 watt
Air PDAM

Nilai Lebih :
Lokasi dipinggir jalan utama Jl. Hang Tuah
Lokasi prestige di tengah kota, Akses jalan lebar

Deskripsi :
Rumah bagus berada dikawasan elite dan di tengah kota, Tanah luas bisa untuk bangunan baru, cocok untuk ruko, tempat usaha, cafe dan tempat tinggal.",Rumah,SHM - Sertifikat Hak Milik,Unfurnished,Bagus,,,2200,08 Jan 2021, 500 m², 954 m²,5,4,
"Rumah di Komplek PHDM 8, Jln Residen Abdul Rozak Palembang, Kalidoni, Palembang","Kalidoni, Palembang ",-2.9504179,104.8034681,"KALIDONI, Palembang, Sumatera Selatan, 30119, Indonesia",Rp. 1.200.000.000,"WA Sekarang :
Hamka : 082175112207

New Listing Jual Rumah Siap Huni, di Komplek PHDM 8, Jln Residen Abdul Rozak Pusri Palembang

Luas Tanah : 300 m2
Luas Bangunan : 125 m2
Kamar Tidur : 3 unit
Kamar Mandi : 1 unit

Harga : Rp 1.200.000.000

Spesifikasi :
Sertipikat Hak Milik
Listrik 4400 watt
Air PDAM
Carport 1 mobil
Kamar Tidur Pembantu : 1 unit
Kamar Mandi Pembantu : 1 unit

Nilai lebih :
1 menit ke PT. Pusri
1 menit ke PT. BGR
3 menit ke JM Lemabang
4 menit ke Pasar Lemabang
4 menit ke Sekolah Kusuma Bangsa
5 menit ke Superindo Basilica
6 menit ke JM Kenten

Deskripsi:
Rumah siap huni, keamanan 24 jam, berada di area yang sangat strategis, rumah dalam kondisi baik dan terawat, akses jalan lebar, area padat penduduk, berada di lingkungan yang asri dan aman, serta sangat cocok untuk tempat tinggal keluarga.",Rumah,SHM - Sertifikat Hak Milik,Unfurnished,Bagus,,,4400,08 Jan 2021, 125 m², 300 m²,3,1,
"Rumah 2 lantai Classic Colonial CitraLand Palembang dengan 3 kamar tidur, Kertapati, Palembang","Kertapati, Palembang ",-3.0224718,104.7503114,"Kertapati, Palembang, Sumatera Selatan, 30252, Indonesia",Rp. 1.595.444.720,"Cluster Inari best seller rumah 2 lantai di CitraLand Palembang dengan 3 kamar tidur , 2 kamar mandi, 1 kamar tidur ART, 1 kamar mandi ART, carport, taman, balkon dan halaman belakang.
Dengan 2 varian luas tanah : 160 dan 176

Keunggulan dari CitraLand Palembang
Lokasi Terbaik Strategis
Aksesibilitas Mudah (Dekat Pintu Tol Palindra KaPalBetung, 15 menit menuju pusat Kota, Mall, Rumah Sakit, Pemerintahan, Unsri, 20 Menit menuju Bandara 10 Menit menuju Stasiun)
Kawasan Terintegrasi
Pusat Bisnis CBD Terbesar
Konsep View Danau
Fasilitas lengkap (Waterpark, Club House, Mall, Sarana Ibadah Kesehatan)
Lingkungan Asri Hijau
Investasi Developer Terpercaya

Harga mulai 1,5 Man
Cocok untuk rumah tinggal atau investasi
BELI SEKARANG JUGA
GRATIS.....
-BPHTB, IMB, AJB, BBN, Asuransi Ciputra Life

TERSEDIA UNIT HOOK LUAS TANAH 180 DAN 383 meter persegi
Unit Terbatas
TINGGAL 3 UNIT

More info :
JOHAN
Mobile : 0811788772
W.A : 083177660069",Rumah,HGB - Hak Guna Bangun,Unfurnished,Baru,1,2,3500,13 Oct 2020, 118 m², 160 m²,3,2,
"Rumah asri 5 menit dari indogrosir, Sako, Palembang","Sako, Palembang ",-2.9255981,104.7864873,"Sako, Palembang, Sumatera Selatan, 30163, Indonesia",Rp. 350.000.000,"graha sako perumahan asri di sako baru, lingkungan asri sangat cocok untuk hunian keluarga",Rumah,SHM - Sertifikat Hak Milik,Unfurnished,,,1,,06 Dec 2020, 45 m², 122 m²,2,1,
